No.,Month,Year,Line,Number_Accident,Delay,Solving_Problem,Traction_System,Brake_System,Door_System,Electrification_System,Rail/Third Rail,Turnout_Point_Machine,Axel_Counter,Signalling_System,External,Other
162,มกราคม,2567,สายสีน้ำเงิน ,0,0,0,0,0,0,0,0,0,0,0,0,0
163,มกราคม,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
164,มกราคม,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),5,57,57,5,0,0,0,0,0,0,0,0,0
165,มกราคม,2567,สายสีแดงเหนือ,1,10,18,0,0,0,0,0,0,1,0,0,0
166,มกราคม,2567,สายสีแดงตะวันตก,0,0,0,0,0,0,0,0,0,0,0,0,0
167,มกราคม,2567,สายสีเหลือง,1,0,0,1,0,0,0,0,0,0,0,0,0
168,มกราคม,2567,สายสีชมพู,2,20,61,0,0,0,0,0,1,0,0,0,1
169,กุมภาพันธ์,2567,สายสีเขียว (สายสุขุมวิท),2,63,63,0,0,0,0,0,0,0,0,2,0
170,กุมภาพันธ์,2567,สายสีเขียว (สายสีลม),0,0,0,0,0,0,0,0,0,0,0,0,0
171,กุมภาพันธ์,2567,สายสีทอง,1,50,50,1,0,0,0,0,0,0,0,0,0
172,กุมภาพันธ์,2567,สายสีน้ำเงิน ,1,40,40,0,0,0,0,0,1,0,0,0,0
173,กุมภาพันธ์,2567,สายสีม่วง,0,0,0,0,0,0,0,0,0,0,0,0,0
174,กุมภาพันธ์,2567,รถไฟฟ้าเชื่อมท่าอากาศยานสุวรรณภูมิ (Airport Rail Link),4,20,20,3,0,1,0,0,0,0,0,0,0
175,กุมภาพันธ์,2567,สายสีแดงเหนือ,3,142,142,1,0,0,0,0,0,0,1,1,0
176,กุมภาพันธ์,2567,สายสีแดงตะวันตก,1,84,84,0,0,0,0,0,0,0,1,0,0
177,กุมภาพันธ์,2567,สายสีเหลือง,0,0,0,0,0,0,0,0,0,,0,0,0
178,กุมภาพันธ์,2567,สายสีชมพู,1,0,0,0,0,0,0,0,0,0,0,0,1
179,มีนาคม,2567,สายสีเขียว (สายสุขุมวิท),2,8,8,0,0,1,0,0,0,0,0,1,0
180,มีนาคม,2567,สายสีเขียว (สายสีลม),1,7,7,0,0,1,0,0,0,0,0,0,0
